Country Name,Country Code,Series,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Completion rate, lower secondary education, rural, fourth quintile, female (%)",UIS.CR.2.RUR.Q4.F,..,..,..,..,..,..,12.88914,..,..,..,26.37276,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, fourth quintile, male (%)",UIS.CR.2.RUR.Q4.M,..,..,..,..,..,..,42.80005,..,..,..,51.67464,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, middle quintile, female (%)",UIS.CR.2.RUR.Q3.F,..,..,..,..,..,..,3.51711,..,..,..,13.13051,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, middle quintile, male (%)",UIS.CR.2.RUR.Q3.M,..,..,..,..,..,..,31.15588,..,..,..,43.02052,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, poorest quintile, female (%)",UIS.CR.2.RUR.Q1.F,..,..,..,..,..,..,0.03164,..,..,..,12.88284,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, poorest quintile, male (%)",UIS.CR.2.RUR.Q1.M,..,..,..,..,..,..,14.62734,..,..,..,34.81102,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, richest quintile, female (%)",UIS.CR.2.RUR.Q5.F,..,..,..,..,..,..,15.05597,..,..,..,48.12878,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, richest quintile, male (%)",UIS.CR.2.RUR.Q5.M,..,..,..,..,..,..,57.22196,..,..,..,79.31364,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, second quintile, female (%)",UIS.CR.2.RUR.Q2.F,..,..,..,..,..,..,3.1874,..,..,..,14.76836,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, second quintile, male (%)",UIS.CR.2.RUR.Q2.M,..,..,..,..,..,..,21.33581,..,..,..,43.05658,..,..,..,..,..,..,..,..
